"r0","num_infected_seeds","hosp_probability_factor","cnt_reduction_workplace","cnt_reduction_other","compliance_delay_workplace","compliance_delay_other","doubling_time_baseline","pareto_num","q_selection","num_df_loglike","run_info","config_id_single"
3.40026,237,0.334340361993322,0.795915018757996,0.847658591780742,6,6,3.1060746801205,14,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.40087,260,0.367118372970154,0.844554339332944,0.86110116157874,5,7,3.10420792131038,15,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.40093,234,0.356220293935821,0.815829386065053,0.844656086085085,5,7,3.09589540973428,16,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.40123,276,0.352195214555445,0.88907590027066,0.849010435459996,6,6,3.09559265569724,17,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.4018,252,0.314573534682658,0.862894737584437,0.836015799981146,6,6,3.10153892041526,18,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.40271,258,0.365994683157508,0.818128388522877,0.847481552752946,6,5,3.10460464539618,19,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.40768,238,0.350313772504148,0.799393946698597,0.845517397571471,6,6,3.09726585580855,20,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.40768,238,0.350313772504148,0.799393946698597,0.845517397571471,6,6,3.09723199487758,21,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.40996,228,0.318304666093788,0.881391236853185,0.830010439505102,7,6,3.09842027670114,22,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.4124,252,0.378501333995513,0.851639158274084,0.87165650525894,7,7,3.09414613487414,23,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.41721,276,0.329072568923119,0.85349737079531,0.852085741715808,7,6,3.09472317438437,24,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.41721,276,0.329072568923119,0.85349737079531,0.852085741715808,7,6,3.09979694913693,25,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.41972,217,0.33383118877999,0.827420932405936,0.845330935068987,6,6,3.10387798454704,26,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.4256,218,0.363737046620231,0.810107313837013,0.876997952420101,6,7,3.10214958599932,27,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.42738,268,0.328211207974292,0.889597586259157,0.832349014346721,5,5,3.1057067953845,28,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.43508,236,0.323744357088143,0.887439660714124,0.831646801425586,7,6,3.09874631109866,29,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.43781,251,0.33300885423657,0.872941095051984,0.831152816342143,6,5,3.09368785985549,30,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.43911,222,0.371357312489366,0.736432592439549,0.879039958312898,7,7,3.10115564717112,31,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.44744,261,0.334680951574356,0.826466736501902,0.855990019945591,6,5,3.10371650084262,32,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.44834,220,0.352310217772438,0.734527245023022,0.87174855479328,6,7,3.09498336187109,33,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
