"r0","num_infected_seeds","hosp_probability_factor","cnt_reduction_workplace","cnt_reduction_other","compliance_delay_workplace","compliance_delay_other","doubling_time_baseline","pareto_num","q_selection","num_df_loglike","run_info","config_id_single"
3.44257,247,0.409179303162415,0.855625672566132,0.855798106939825,6,7,3.10658435072759,13,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.44325,276,0.451426412615795,0.701835933503853,0.871277726441594,7,5,3.09890454917429,14,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.44683,241,0.36359450643301,0.894378689548774,0.83590608753548,6,6,3.09891847323534,15,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.44752,236,0.364072419194393,0.893036072628447,0.817956610345189,6,6,3.10130178851185,16,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.44904,267,0.403114872330762,0.746335209289067,0.845107481035134,6,6,3.1016663891288,17,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.44908,297,0.418184023946114,0.893584054614925,0.849617399470811,7,6,3.10529920140275,18,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.44908,297,0.418184023946114,0.893584054614925,0.849617399470811,7,6,3.10619638217013,19,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.44948,299,0.380970467717536,0.880870516888164,0.839643292929907,6,5,3.10065616967909,20,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.45148,252,0.413374455193784,0.900015519378409,0.834250404443722,6,6,3.09369713312305,21,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.45733,250,0.447079628244434,0.898858816303075,0.835406738005541,7,6,3.09817042583739,22,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
